菜名,口味,原料
腌笃鲜,咸鲜,竹笋 2块，百页结 100g，咸五花肉 1条，猪脊骨 400g，料酒 适量，姜 1小块
淮南牛肉汤+发面葱油饼,咸鲜,牛腱子肉 适量，水 适量，八角 适量，桂皮 适量，香叶 适量，丁香 适量，草果 适量，陈皮 适量，干辣椒 适量，花椒 适量，甘草 适量，干豆腐丝 适量，细红署粉条 适量，香菜 适量，胡椒粉 适量，面粉 适量，酵母 适量，葱花 适量，油 适量，盐 适量
江南名菜～腌笃鲜，汤白汁浓 鲜香味美,咸鲜,咸肉 300g，鸡 半只，春笋 400g，生姜 1块，香葱 2根，百页结 6只，料酒 2勺
腌笃鲜,咸鲜,春笋 2根，金华火腿 150g，排骨 600g，豆腐皮 2张，小葱 1根，料酒 5ml
腌笃鲜,咸鲜,排骨 900克，咸肉 1小块，春笋 3根，莴笋 1根，百叶结 100克，葱结 1个，姜片 3片，盐 少许，料酒 2勺
腌笃鲜,咸鲜,春笋 2个，五花肉 100g，咸肉 100g，杏鲍菇 100g，百叶结 200g，油 适量，葱 适量，枸杞 少量，香菜 少量
腊肉版腌笃鲜,咸鲜,腊肉 100g，鲜肉 150g，春笋 200g，芦笋 50g，腐竹 100g泡发的，盐 4g，糖 2g，胡椒粉 2g
酒菠萝版腌笃鲜,咸鲜,猪肉 150克，腌肉 100克，春笋 （鲜）400克，清水 1000克，酒菠萝 2片，葱 适量，姜 适量，葱花 小许
骨头汤泡炒米,甜香,大骨头 500克，胡萝卜 1根，白萝卜 半根，炒米 1袋，生姜 少许，料酒 少许，盐 1勺
腌笃鲜,咸鲜,咸肉 250克，鲜肉 100克，鲜笋 200克，生姜 少许，盐 少许
懒人粉蒸肉,清淡,五花肉 500G，蒸肉粉 200G，盐 少许，老抽 少许，葱 少许，蒜 适量，姜 适量
腌笃鲜,咸鲜,咸肉 适量，排骨 适量，春笋 适量，姜 适量，料酒 适量，盐 适量
清明菜粑粑,咸鲜,清明菜 300g，面粉 一斤，糯米饭 一斤，腊肉 一斤，葱头 一斤，咸菜 100g
臭鳜鱼,咸鲜,臭鳜鱼 1条，料酒 适量，生抽 适量，老抽 适量，冰糖 适量，大料 1个，姜片 2片，葱 2段，小红椒 适量
香肠肉松粢饭,原味,糯米 500g，肉松 100g，香肠 5根，黑芝麻 适量
梅干菜烧肉,咸鲜,五花肉 400克，梅干菜 100克，生抽 2勺，老抽 1勺，料酒 适量，冰糖 适量，老姜 适量
朱洪武豆腐,原味,老豆腐 2块，肉糜 100克，虾仁 120克，葱 5根，姜 1小块，辣椒 2个，鸡蛋 4个，盐 3克，鸡精 2克，料酒 4毫升，陈醋 6毫升，生抽 7毫升，淀粉 2勺，食用油 适量
红烧臭鳜鱼,麻辣,桂鱼 500G，臭乳腐 2-3块，花椒 5G，生抽 少许，老抽 少许，糖 5G，生姜 少许，葱 少许，蒜瓣 少许，干辣椒 1、2棵，啤酒 250G，油 少许，红杭椒 （或红青椒）2根，绿杭椒 （或绿青椒）2根
鱼咬羊,原味,鲈鱼 1条，羊肉 200克，大葱 适量，八角 少许，枸杞 少许，生抽 少许，老抽 少许，姜 适量，食用油 适量，料酒 少许，盐 少许，鸡粉 少许
徽州火腿炒红椒,微辣,红辣椒 适量，徽州火腿 适量，大蒜 适量，盐 适量，糖 适量，生抽 适量
梅干菜烧饼,咸鲜,面粉 200g，五花肉 120g，梅干菜 60g，盐 1勺，生抽 15g，蚝油 15g，料酒 15g，胡椒粉 少许，香油 10克，麦芽糖水 1匙，芝麻 1匙，酵母粉 2g，姜末 1g
麻辣小龙虾,麻辣,虾尾 半斤，青辣椒 两个，红辣椒 适量，香菜 四五根，味极鲜 适量，麻椒 适量，冰糖 一块，老干妈辣酱 一勺，葱 一段，姜 适量，蒜 两瓣，料酒 适量
腌笃鲜,咸鲜,排骨 适量，咸肉 适量，冬笋 适量，厚百叶 适量，木耳 适量，盐 适量，青葱 适量
【安徽】凉拌猪心,咸鲜,熟猪心 适量，黄瓜 适量，蒜黄 适量，香菜 适量，盐 适量，味精 适量，醋 适量，生抽 适量，香油 适量
香煎藕饼,咸鲜,五花肉馅儿 250克，莲藕 2节，香葱 50克，料酒 1勺，生抽 2勺，鸡蛋 1颗，黑胡椒粉 1茶匙，香油 1勺，盐 适量
腌笃鲜,咸鲜,春笋 4根，咸肉 150g，猪蹄 650g，盐 少许，料酒 3勺，姜片 3片
徽派魔芋烧鱼,麻辣,魔芋豆腐 适量，草鱼 适量，香菇 适量，青葱 适量，盐 适量，鸡精 适量，白糖 适量，酱油 适量，醋 适量，料酒 适量，水淀粉 适量
腌笃鲜,咸鲜,咸肉 1块，笋 1个，百叶结 适量，排骨汤 适量，食盐 适量
红烧肉,五香,五花肉 800克，八角 几粒，冰糖 40克，料酒 1勺，香叶 几片，红烧酱油 适量，盐 适量，姜 少许，蒜块 少许
蒸香菇盒,咸鲜,猪肉 适量，香菇 适量，酱油 适量，花生油 适量，葱 适量，姜 适量，胡椒面 适量，盐 适量，白糖 适量，鸡蛋 适量
香辣红烧肉,微辣,五花肉 1条，豆豉 一小把，八角 3颗，桂皮 1段，葱 1根，姜 两片，干辣椒 5个，酒 2汤匙，酱油 5汤匙，冰糖 1小把
秘制红烧肉,咸鲜,猪五花肉 450g，大蒜 适量，葱段 适量，姜片 适量，八角 适量，盐 适量，食用油 适量，清水 适量，冰糖 适量，黄酒 适量，生抽 适量
徽州臭鳜鱼,鱼香,鳜鱼 1条，笋片 适量，白糖 适量，姜片 适量，肉片 适量，酱油 适量，绍酒 适量，青蒜 适量
红烧肉,咸甜,五花肉 1000克，香料 适量，盐 1勺，冰糖 几粒，醋 半勺，老抽 半勺，花椒 适量，姜 半个，油 适量
家传红烧肉,微辣,五花肉 适量，胡椒粉 适量，辣椒酱 适量，油 适量，白砂糖 适量，生抽 适量，芝麻 适量，生粉水 适量，豆瓣酱 适量，葱花 适量，盐 适量，老抽 适量
红烧肉,酱香,五花肉 500g，生抽 2勺，冰糖 适量，八角 2g，黄酒 2勺，老抽 半勺，香叶 3片，草果 1g，生姜 适量，鸡精 适量，香葱 适量
高升排骨,咸鲜,仔排 500g，白糖 45g，醋 30g，酱油 60g，清水 75g，料酒 15g
私家红烧肉,咸鲜,五花肉 2000克，白糖 1汤勺，花椒 30粒，小茴香 少许，葱 2根，蒜 4瓣，老抽 1汤勺，料酒 2汤勺，大料 4朵，香叶 1片，桂皮 少许，姜 1块，生抽 适量，盐 适量
鸡膀根炖土豆,微辣,鸡膀根 6个，土豆 2个，小辣椒 4个，花椒 适量，盐 适量，酱油 适量，老抽 适量，糖 少量，油 适量，葱 一段，蒜 4瓣，姜 3片，料酒 适量
红烧猪蹄,原味,猪蹄 适量，老抽 适量，生抽 适量，料酒 适量，冰糖 适量，香叶 适量，桂皮 适量，八角 适量，盐 适量，葱 适量，姜 适量，蒜 适量，花椒 适量
红烧肉,酱香,五花肉 500克，葱 少许，姜 少许，冰糖 少许，食用油 少许，花椒 1小把，料酒 2勺，鸡精 少许，水 适量，八角 3个，生抽 少许，盐 少许
红烧肉,咸鲜,猪肉 1000克，葱段 姜片 适量，葱段姜片 适量，料酒  老抽 适量，草果 半个，八角 2个，茴香 几粒，香叶 一片，桂皮 一块，盐 适量
【家常红烧肉】,咸甜,带皮五花肉 适量，盐 适量，生抽 适量，老抽 适量，冰糖 适量，桂皮 适量，香叶 适量，花椒 适量，八角 适量，姜 适量，干红辣椒 适量，料酒 适量，蒜 适量
肉丝酸菜炒秀珍菇,咸鲜,肉丝 65克，酸菜 100克，秀珍菇 125克，料酒 适量，生抽 适量，盐 适量
红烧肉,咸甜,五花肉 800g，鸡蛋 2个，红曲 1小勺，酱油 适量，盐 适量
拔丝芋头,甜味,芋头 一个，油 适量，白糖 50g
自然发酵的自制霉豆腐-豆腐乳-毛豆腐,怪味,老豆腐 200克，花椒 10粒，盐 若干，八角 八角中的两角
香煎虾饼,咸甜,基围虾 250g，洋葱 四分之一个，鸡蛋 一只，黑胡椒 少许，盐 2勺，淀粉 少许，白葡萄酒 少许，碎芝士 少许，柠檬 几滴
圆素鸡烧龙骨,咸甜,龙骨 555克，圆素鸡 190克，桂皮 适量，大料 适量，料酒 适量，生抽 适量，白糖 适量，盐 适量
安徽特色--葫芦膜膜,咸鲜,葫芦 1个，面粉 适量，盐 少许，鸡蛋 2个
椒盐蘑菇,其他,平菇 适量，鸡蛋 适量，花椒粉 适量，盐 适量
梅干菜蒸五花肉,咸甜,五花肉 360g，梅干菜 40g，糖 适量
