菜名,口味,原料
剁椒鱼头,微辣,鱼头 1个，嫩豆腐 1块，宽粉 适量，香葱 适量，香芹 适量，姜片 适量，蒜头 适量，剁椒 适量，生抽 适量
湖南猪油拌粉,咸鲜,干米粉 80——100g，花生仁 少许，榨菜 少许，生抽 3勺，老抽 1勺，油辣椒 1勺，猪油 2勺，大蒜 1瓣，葱 2根，鸡精 少许，盐 少许
擂辣椒皮蛋,怪味,辣椒 适量，皮蛋 适量，蒜 适量，生抽 适量，醋 适量，香油 适量
擂辣椒皮蛋,微辣,螺丝椒 2个，菜椒 2个，皮蛋 2个，大蒜 适量，生抽 2勺，醋 1勺，香油 1勺，盐 少量
湖南面子扣肉,中辣,猪皮 块，前腿猪肉 斤，百事可乐 适量，辣椒粉 匙，盐 g，鸡精 g，味精 g，味极鲜 ml
麻婆豆腐,麻辣,豆腐 一块，牛肉 少量，蒜苗 一根，盐 少量，豆瓣酱 2勺，豆豉 一勺，辣椒面 一勺，味精 一勺，鸡精 一勺，生抽 一勺，淀粉 少量，花椒粉 少量
剁椒鱼头,中辣,胖鱼鱼头 一个，剁椒 适量，姜 适量，大蒜头 适量，葱 适量，料酒 适量，野山椒 少许，油 适量，盐 适量，鸡精 适量，胡椒粉 适量
剁椒鱼头隐藏吃法,香辣,贾国龙功夫菜老坛剁椒鱼头 1盒，面条 300g，油条 3根，水 500ml
剁椒鱼头,咸香,胖头鱼鱼头 1个，鸡汤 500g，剁椒 3大汤匙，油 2勺
湖蒜蓉剁辣椒,超辣,红线椒 1000g，蒜子 300g，白糖 1勺，高度白酒 1勺，菜籽油 100g
外婆菜,其他,梅干菜 适量，五花肉 适量，毛豆 适量，笋干 适量，蒜末 适量，小米辣 适量，葱花 适量，生抽 适量，冰糖 适量，料酒 适量，盐 适量，香油 适量
剁椒鱼头,中辣,鱼头 1个，黄剁椒酱 50g，大葱 20g，姜 20g，花生油 15ml，盐 1g，蒸鱼豉油 10ml
干捞粉丝,咸鲜,粉丝 适量，肉末 适量，辣椒酱 适量，姜 适量，蒜粒 适量，大葱末 适量，酱油 适量，老抽 适量，蚝油 适量
