菜名,口味,原料
辣子鸡,香辣,鸡腿 2个，葱 1块，姜 1块，辣椒 5-6颗，淀粉 2勺，蚝油 1匙，酱油 1匙，芝麻 1匙，料酒 1匙
家常味盐煎肉,咸鲜,二刀肉 四两，蒜苗 三两，青椒 二两，豆瓣酱 一勺，川豆豉 一匙，味精 少许，姜片 少许
蚂蚁上树,咸鲜,龙口粉丝 两把，肉沫 少许，郫县豆瓣酱 1小勺
家常酸辣粉,酸辣,红薯粉条 适量，卤牛肉 适量，鸡蛋 适量，香葱 适量，生姜 适量，小米辣 适量，盐 适量，生抽 适量，豆瓣酱 适量，香醋 适量
双椒回锅肉,微辣,猪肉 适量，青椒 适量，小米椒 适量，蒜片 适量，生抽 适量，老抽 适量，味精 适量
经典川味担担面，吃一次就念念不忘的味道,香辣,新鲜面条 500克，肥瘦猪肉 400克，碎米芽菜 100克，油菜 适量，葱末 适量，姜末 适量，蒜末 适量，粗制辣椒粉 适量，食用油 适量，熟芝麻 适量，去皮熟花生碎 适量，生抽酱油 适量，老抽酱油 适量，料酒 适量，花椒油 适量，芝麻油 适量，醋 适量，细砂糖 适量
川菜版宫保鸡丁,微辣,鸡胸肉 200克，大葱 两段，姜 两片，蒜 三瓣，郫县豆瓣酱 一勺，色拉油 200ml，陈醋 2匙，白糖 3匙，水淀粉 2匙，蒸鱼豉油 1匙，胡椒粉 1匙，料酒 1匙，盐 5g，水淀粉 1匙，色拉油 1匙
口水鸡,中辣,小公鸡 一只，葱 适量，姜 适量，料酒 适量，盐 适量，芝麻红油 适量，蒜末 适量，生抽 适量，香醋 适量，白糖 适量，鸡精 适量，花椒油 适量
麻辣血旺,中辣,血旺 1块，豆芽 1把，脆皮肠 适量，蒜苗 2颗，泡姜 适量，泡辣椒 适量，姜蒜末 适量，酱油 1勺，盐 适量，鸡精 适量，味精 适量
鱼香肉丝,鱼香,猪瘦肉 适量，胡萝卜 适量，青椒 适量，黑木耳 适量，鸡蛋清 适量，姜 适量，蒜 适量，淀粉 适量，盐 适量，白糖 适量，米醋 适量，生抽 适量，老抽 适量，胡椒粉 适量，香油 适量
四川哨子面,清淡,瘦肉 50g，小面 100g，香菇 1个，胡萝卜 1/3个，白菜 1片，莴笋叶 3片，姜 5g，大蒜 1瓣，葱叶 3根，花椒 10颗，黄豆酱 1勺
四川腊肉,咸鲜,腊肉 半块，小葱 2个
宫保鸡丁,酸甜,鸡腿肉 3只量，花生 1/2杯，生姜 1块，葱头 1枚，生抽 1/2大勺，精盐 1/4小勺，花椒粉 1/2小勺、，胡椒粉 1/3小勺，白酒 1/2大勺，白糖 1/4小勺，玉米淀粉 1/2大勺，菜油 1大勺，姜片 约20指甲片，葱头 约20指甲片，干辣椒段 3条量，花椒 1/2大勺，花椒粉 1/2大勺，芝麻油 1/2大勺，生抽 1大勺，白糖 1+3/4大勺，浙醋 1+1/2大勺，胡椒粉 1/3小勺
自制串串香,原味,各种蔬菜 适量，各种鱼丸 适量，牛油火锅底料 1大块，蒜末 4瓣，油 1汤勺，白芝麻 2勺，糖 1勺，清水 适量
麻辣香锅,麻辣,荤菜 （五花肉，鱿鱼，鸭肠，虾，鸡翅中等）适量，素菜 （土豆，莲藕，香菇，花菜，西蓝花，木耳，小白菜等）适量，丸子 （牛肉丸，蟹柳，鱼丸等）适量，火锅底料 一块，香料 （桂皮，八角，麻椒等）适量，白芝麻 适量，葱姜蒜 适量，豆瓣酱 1勺
口水鸡,微辣,鸡腿 2个，大葱 一段，生姜 2片，香菜 1棵，小米辣 1个，生抽 3勺，米醋 3勺，蚝油 3勺，料酒 2勺，藤椒油 1勺，白糖 半勺
水煮豆皮肉片,香辣,猪里脊肉 适量，白菜 适量，豆皮 适量，西兰花 适量，葱 适量，火锅底料 适量，花椒 适量，油 适量，盐 适量，淀粉 适量，料酒 适量，五香粉 适量，姜粉 适量，酱油 适量，水 适量，姜 适量，蒜 适量
水煮鱼片,麻辣,江团 1条，小葱 6颗，大蒜 6瓣，生姜 1块，豆瓣酱 2勺，玉米淀粉 适量，料酒 2勺，鸡精 适量，白糖 少许，胡椒粉 适量，干辣椒段 适量，花椒粒 适量，八角 2个，香叶 3个，鸡蛋 一个
宫保鸡丁,酸甜,鸡腿肉 300克，胡萝卜 半根，青瓜 半根，熟花生米 1碟子，干淀粉 适量，郫县豆瓣酱 1勺，料酒 适量，生抽 1勺，蚝油 1勺，香醋 1勺半，白糖 1勺，干淀粉 1勺，清水 2勺，盐 适量
水煮牛肉,麻辣,牛肉 200g，菠菜 100g，大蒜 3粒，干辣椒 5个，辣椒粉 适量，淀粉 适量，香葱 1棵，香菜 2棵，姜 少许，花椒 2g，植物油 5g，盐 3g，生抽 1勺，老抽 少许，豆瓣酱 1勺
宫保鸡丁,咸甜,鸡脯肉 1块，洋葱 半个，花生米 适量，胡萝卜 适量，青椒 适量，干辣椒 适量，盐 适量，胡椒粉 适量，淀粉 适量，酱油 适量，糖 适量，醋 适量，郫县豆瓣酱 适量，八角 适量
家常钵钵鸡，简单方便，随便煮点什么都好吃，自己做吃到撑。,麻辣,各种素菜 适量，各种荤菜 适量，钵钵鸡调料 1包，高汤 （可选）2000克
超easy麻婆豆腐,微辣,豆腐 一块，好人家麻婆豆腐料包 一袋，肉馅 适量，盐 适量
麻辣豆腐,原味,卤水豆腐 250g，肉末 适量，葱段 适量，蒜片 3瓣，干辣椒 3个，郫县豆瓣 2大勺，味极鲜 2勺，老抽 1勺，盐 适量，花椒 20颗，麻椒 20颗，玉米淀粉 2勺
酸汤肥牛的做法，酸汤肥牛最简单的家常做法，肥牛怎么做好吃,微辣,肥牛 400g，金针菇 1把，姜蒜 适量，西红柿 1个，二荆条 1根，小米辣 1个，红泡椒 1个，黄灯笼辣椒酱 2勺，白芝麻 适量，盐 1勺，生抽 1勺，料酒 1勺，蚝油 1勺，白醋 1勺
鱼香肉丝,鱼香,里脊肉 300g，胡萝卜 半根，青椒 半个，黑木耳 适量，油 适量，葱 适量，姜 适量，蒜 适量，蛋清 1个，玉米淀粉 适量
暖身暖心子姜鸭,中辣,鸭 1只，子姜 适量，青椒 适量，红椒 适量，葱 适量，姜 适量，蒜 适量，料酒 适量，豆瓣酱 1勺，盐 适量，啤酒 1罐，泡椒 适量，泡姜 适量
蚂蚁上树,咸鲜,粉丝 110g，猪肉 70g，葱 适量，小米椒 适量，郫县豆瓣酱 2勺，姜 适量，蒜 适量，糖 少许，盐 少许，料酒 1勺，生抽 2勺，老抽 半勺
囗水鸡,麻辣,鸡腿 3只，囗水鸡调料 1包，葱 3根，姜 少许
干煸四季豆,蒜香,四季豆 适量，干辣椒 少许，花椒 少许，姜 少许，葱 少许，蒜 少许，盐 少许，红烧酱油 少许，黄豆酱油 少许，鸡精 少许
宫保鸡丁,微辣,鸡胸肉 适量，大蒜 适量，去壳花生 适量，玉米淀粉 一大勺，玉米油 8毫升，盐 2克，生抽 3毫升，玉米淀粉 一勺，老干妈 一勺
麻婆豆腐,麻辣,嫩豆腐 1大块，猪肉末 150克，姜 1小块，葱 5根，蒜 5瓣，小米椒 3个，盐 半小勺，生抽 2小勺，蚝油 1小勺，料酒 1小勺，白糖 半小勺，食用油 适量，红油豆瓣酱 1小勺，辣椒酱 1小勺，老抽 1小勺，花椒粉 少许，白胡椒粉 少许，淀粉 1小勺
酸菜芋儿鸡,微辣,公鸡 1只  3斤，芋头 1斤，酸菜 1包
泡椒凤爪,酸辣,鸡爪 1斤，泡椒 1瓶，葱 少许，姜 少许，胡萝卜 1条，泡椒汁 1袋
蒜苗五花肉,咸鲜,五花肉 500g，蒜苗 200g，豆瓣酱 1勺，蒜片 1勺，姜丝 1勺，盐 适量
蚂蚁上树,微辣,红薯粉丝 适量，肉 适量，墨鱼 适量，米椒 适量，油 适量，盐 适量，鸡精 适量，蚝油 适量，生抽 适量，老抽 少许
香辣五花肉,咸鲜,五花肉 500g，辣椒 100g，姜丝 1勺，蒜片 1勺，盐 适量，豆瓣酱 2勺
泡椒兔肉,酸辣,兔肉 500g，泡椒 50g，泡姜 30g，青椒段 20g，盐 适量，油 5勺，辣椒酱 2勺
真滋味方便菜来教你做鱼香肉丝！【H】,鱼香,真滋味鱼香肉丝 一袋，胡萝卜 适量，木耳 适量
鱼香肉末茄子煲,酸辣,茄子 1个，肉末 100克，生抽 1勺，淀粉 1勺，食用油 2勺，郫县豆瓣酱 1勺，葱花 适量，蒜蓉 适量，小米椒圈 适量，生抽 1勺，蚝油 1勺，香醋 1勺，白糖 1勺，淀粉 1勺，清水 2勺
水煮肉片,麻辣,猪肉 适量，千张丝 适量，花椒 适量，干辣椒 适量，葱花 适量，姜丝 适量，蒜末 适量，豆瓣酱 适量，火锅底料 适量，盐 适量，胡椒粉 适量，淀粉 适量，生抽 适量，蚝油 适量
鱼香肉丝,咸鲜,猪瘦肉 300克，黑木耳 1把，胡萝卜 半根，青椒 2个，葱 3根，姜 1小块，蒜 5瓣，鸡蛋清 1个鸡蛋，胡椒粉 半小勺，料酒 2小勺，老抽 半小勺，淀粉 2小勺，生抽 3小勺，香醋 2小勺，白糖 2小勺，清水 2小勺，豆瓣酱 2小勺
四川辣椒油,香辣,粗辣椒粉 1勺，细辣椒粉 1勺，芝麻 大半勺，食用油 适量，洋葱 半个，香菜 1棵，小葱 3棵，盐 适量
金汤肥牛,中辣,肥牛 适量，金针菇 适量，魔芋结 适量，豆皮 适量，盐 适量，大蒜 适量，小米辣泡椒 适量，生姜 适量，金汤肥牛料 一包，干辣椒 适量
宫保鸡丁,咸鲜,鸡胸肉 2块，胡萝卜 1个，黄瓜 1个，花生米 适量，葱 适量，老抽 1勺，蚝油 1勺，十三香 适量，盐 适量，姜 适量，辣椒 适量
麻辣小火锅,麻辣,火锅底料 50g，牛肉丸 6个，骨肉相连 4串，虾饺 6个，脆皮肠 6个，火锅粉 50g，醋 2勺
蒜香血粑,原味,血粑 200g，蒜片 1勺，姜片 1勺，葱花 1勺，盐 适量，猪油 50g
钵钵鸡,麻辣,豆腐 1块，生菜 4片，金针菇 1把，西兰花 3朵，香菇菜丸 2个，包心肉丸 2个，包心鱼丸 2个，撒尿牛丸 2个，钵钵鸡香辣菌菇素菜底锅 1盒
蚂蚁上树,咸鲜,粉条 适量，瘦肉 适量，干辣椒 适量，小葱 适量，大蒜 适量，生抽 适量，盐 适量
钵钵鸡,中辣,鸡 半个，牛肉 200g，西兰花 100g，海带 50g，豆腐皮 1块，鹌鹑蛋 12个，姜 3块，植物油 20g，盐 10g，八角 3个，桂皮 2块，小茴香 2g，花椒 3g，草果 2个，香叶 1块，生抽 3勺，老抽 1勺
麻辣香锅,麻辣,菠菜 1把，茼蒿 1把，豆腐皮 1张，大虾 6只，娃娃菜 2棵，金针菇 100克，葱 1根，香菜 1根，食用油 适量，麻辣香锅料 1袋，小丸子 适量
酸菜桂花鱼,咸鲜,桂花鱼 800g，黄瓜 1根，胡萝卜 1根，干辣椒 适量，花椒 适量，老姜 适量，蒜 适量，酸菜 适量，红薯粉 适量，胡椒粉 适量，小葱 适量，料酒 适量
