菜名,口味,原料
拍黄瓜,微辣,黄瓜 半根‘，醋泡花生 适量，醋泡木耳 适量，醋 适量，油泼辣子 少许
夏天必吃减脂瘦身美食，果香浓郁的酸辣柠檬大虾,酸辣,大虾 16只，生姜 1块，香葱 1颗，香菜 3根，柠檬 1个，百香果 1个，杭椒 1只，小米椒 3只，小番茄 10个，洋葱 半个，六月鲜12克轻盐牡蛎酱油 2勺，味达美臻品料酒 1勺，味达美醇香米醋 1勺，白糖 8g
擂灰圆,甜味,糯米粉 适量，桂花红豆沙 适量，黄豆粉 适量，黑芝麻 适量，红糖 适量
避风塘酥脆虾,蒜香,大虾 600克，大蒜 100克，半湿豆豉 1把，海米 1把，方便面饼 1块，黄飞红麻辣花生 1把，金黄面包糠 1把，青蒜叶 1把，油 适量，盐 适量
虾味球冬瓜三色芝士年糕,清淡,三色芝士年糕 250克，冬瓜 145克，虾味球 85克，盐 适量，味精 适量
炸响铃,清淡,豆腐皮 2张，肉末 175克，面糊 适量，料酒 适量，酱油 适量，蚝油 适量，盐 适量，干淀粉 适量
清明螺，赛过鹅～田螺塞肉,咸鲜,田螺 14个，猪肉馅 109g，香葱 3根，生姜 1块，小辣椒 1个，盐 适量，料酒 2勺，胡椒粉 0.5，淀粉 2g，植物油 1小勺，芝麻香油 2g，生抽 1小勺
春笋炒年糕,清淡,春笋 1株，年糕 265克，盐 适量，酱油 适量
鸡蛋青菜炒年糕,咸鲜,年糕 一条，鸡蛋 一个，小菜心 适量，蒜末 少许，油 少许，酱油 少许
年糕炒香肠,麻辣,年糕 2条，四川腊肠 100克，食用油 2勺，生抽 1勺，葱 适量，小米椒圈 适量，姜 适量，蒜末 适量
包心菜鸡腿煮年糕,清淡,年糕 400克，鸡腿 465克，包心菜 200克，料酒 适量，盐 适量
鸡翅炖年糕,酱香,年糕 200g，鸡翅 200g，番茄 1个，葱 1根，蒜末 适量，姜 少许，柱侯酱 2匙，蚝油 1匙，酱油 1匙，食盐 适量，食用油 适量
鲮鱼饼虾仁汤年糕,咸鲜,年糕 1包（2磅），娃娃菜 1颗，鲮鱼饼 适量，虾仁 10来个，猪骨浓汤 适量
排骨萝卜汤年糕,咸鲜,排骨萝卜汤 适量，年糕 适量，盐 适量
家乡咸汤圆,咸鲜,糯米粉 500g，温水 420g，大白菜 半颗，白萝卜 1根，胡萝卜 1根，腊肠 2根，腊肉 半根，叉烧 400g，虾仁 适量，冬菇 20个，虾米 手抓1把，鱼腐 适量，盐 适量，油 适量
银耳红薯花色年糕,甜味,花色年糕 400克，银耳 15克，红薯 640克，白糖 4勺
炒年糕,酸甜,年糕 半袋，圆白菜 适量，葱花 适量，植物油 1勺，酱油 1勺，蚝油 1匙，番茄酱 1大勺，盐 1匙，鸡精 1匙，十三香 1匙
桂花年糕,甜味,年糕 1盒，桂花蜜 适量，油 少许
浙江名菜&蒜爆目鱼花,蒜香,目鱼 3只，大蒜 2瓣，淀粉 少许，盐 3g，味精 2g
龙井虾仁,原味,龙井茶叶 适量，虾仁 适量，油 适量，盐 适量
粢饭团丨早餐吃一个半天都不饿,咸香,糯米 100g，红米 20g，油条 1根，猪肉松 20g，榨菜 1包
毛豆烧素记,咸鲜,素记 适量，毛豆 适量，干辣椒 适量，姜 适量，盐 适量，生抽 适量，老抽 适量，鸡精 适量
排队N久才能买到的酱鸭，在家也能轻松做，好吃到连骨头都不放过,咸鲜,净鸭 半只，350克，香葱 10克，大料 3个，香叶 1片，桂皮 1块，姜 5片，冰糖 15克，盐 2克，老抽 15毫升，酱油 30毫升，腐乳汁 20毫升，水量 1200毫升
鸭子煲,原味,鸭 半只，八角 适量，桂皮 适量，香叶 适量，姜 适量，香菜 适量，葱 适量，蒜 适量，盐 适量，料酒 适量，蚝油 适量，酱油 适量
炒虾的华丽升级——避风塘炒虾,蒜香,虾 十只，面包糠 50g，红椒 一个，小葱 两根，玉米淀粉 两大勺，大蒜 5-6瓣，姜 一小块，盐 适量，黄酒 两小勺
咸菜榨菜丝粢饭团,清淡,大米 270克，糯米 80克，榨菜丝 适量，咸菜 适量
油焖春笋,咸鲜,雷笋 500克，蒜瓣 适量，生抽酱油 4汤匙，冰糖 15克，清水 1碗，猪油 1大匙，玉米油 2大匙，芝麻油 适量
温州松糕,甜香,大米粉 100g，糯米粉 60g，水 85g，细砂糖 40g，咸肥肉 30g，黑芝麻 适量
宁波水磨年糕,原味,大米 适量，水 适量
油焖春笋,咸鲜,春笋 500g，玉米油 适量，盐 适量，生抽 适量，糖 适量，鸡精 适量
葱油拌面,葱香,面粉 1000g，香葱 适量，生抽 适量，酱油 适量，盐 适量
衢州烤饼（烤箱版）,原味,中筋面粉 300g，温水 170g，盐 1/2匙，五花肉 300g，葱 300g，辣椒 适量
鸡蛋麻糍,咸香,鸡蛋 4只，麻糍 4块，火腿肠 1，榨菜 1包，葱花 适量
梅干菜烧肉,咸鲜,五花肉 500克，梅干菜 适量，白糖 适量，葱 适量，姜 1块，老抽 半勺，生抽 2勺，盐 适量，料酒 1勺
肉末雪菜年糕,微辣,宁波水磨年糕 250g，雪菜 适量，肉馅 适量，朝天椒 适量，姜 适量，葱 适量，菜籽油 适量，盐 适量，鸡精 适量，糖 少许
牛腩烧土豆和胡萝卜,中辣,牛腩 500克，土豆 适量，胡萝卜 适量，米椒 适量，姜 适量，葱 适量，八角 适量，桂皮 适量，香叶 适量，沙姜 适量，水煮鱼佐料 一勺，青椒 适量，冰糖 适量，生抽 适量，油 适量，盐 适量，鸡精 适量，蚝油 适量，料酒 适量
草头圈子,咸鲜,草头 250克，熟猪大肠 100克，生抽 15克，老抽 5克，白砂糖 5克，盐 3克，白酒 15克，油 100克，老姜 适量，香葱 适量，淀粉 少许
豆沙八宝饭,甜香,糯米 适量，红枣 适量，豆沙 适量，葡萄干 适量，核桃仁 适量，干果 适量，花生 适量，水 适量
宁波鳗鲞,咸鲜,鳗鲞 1条，姜片 适量，香醋 适量
糖醋排骨,酸甜,排骨 700克，葱段 适量，生姜 10克，香葱 适量，黄酒 10毫升，蛋清 1个，蛋液 70克，淀粉 30克，料酒 5毫升，酱油 15毫升，香醋 10毫升，白米醋 20毫升，糖色水 15毫升，白砂糖 15克，熟芝麻 适量，盐 适量，食用油 适量，冰糖 30克，蜂蜜 少许，食用油 1小勺，热水 60克
蘸汁毛蛤,蒜香,毛蛤 500克，大蒜 2瓣，醋 5克，生抽 3克，食盐 小许
梅干菜酥饼,咸鲜,中筋面粉 225g，猪油 90g（或黄油），糖 15g，水 105g，猪油 113g（或黄油），低筋面粉 240g，梅干菜 100g，猪肉 适量
糟烩鞭笋,糟香,竹笋 500克，淀粉 13克，盐 5克，味精 3克，菜籽油 20克，香油 5克，香糟 30克
斩鱼圆,咸鲜,草鱼 850克，火腿 25克，鲜香菇 5克，小葱 5克，姜汁 5克，黄酒 10克，盐 5克，鸡油 10克，味精 3克，猪油 20克
红烧冬瓜,咸鲜,冬瓜 1块，香葱 1根，生抽 15克，老抽 5克，盐 适量，白砂糖 5克，食用油 适量
笋干炖肉,咸香,笋干 200g，猪肉 适量，八角 适量，香菇 适量，黑木耳 适量，辣椒 适量，生姜 适量
扬州干丝炒肉丝,清淡,扬州干丝 150g，瘦肉 1块，甜椒 1/2块，大蒜 1瓣，生姜 1小块，小葱葱叶 3根，淀粉 1勺，料酒 少许，老抽 少许，盐 少许，食用油 适量
宽粉面结汤,清淡,面结 255克，宽粉 50克，香葱 适量，酱油 适量，盐 适量，味精 适量
鸡翅根炖鲍鱼,咸鲜,鸡翅根 10个，鲍鱼 4个，姜 适量，葱 适量，白糖 一勺，蚝油 一勺，红烧酱油 2勺，花雕酒 3勺，料酒 2勺，花椒 适量，大料 适量，盐 适量，花生油 一勺，干辣椒 2个，香叶 一片
龙游发糕,甜味,大米 8斤，糯米 2斤，酒 最好用酵母水（水），白糖 4斤，肥肉 1-1.5斤
