菜名,口味,主料,辅料,调料,链接
广式生滚汤 | 猪湿粉肠瘦肉芥菜汤,清淡,猪肝 500g，猪肉 250g，粉肠 250g,芥菜 500g,鸡精 适量，胡椒粉 适量，白酒 2勺，姜片 5片，椒盐 适量，生粉 适量，花生油 适量,https://home.meishichina.com/recipe-650323.html
虎皮凤爪,咸甜,鸡爪 12只,葱 适量，姜 适量,海鲜酱 适量，柱候酱 适量，蚝油 适量,https://home.meishichina.com/recipe-621768.html
腊肠煲仔饭,麻辣,麻辣香肠 2条，五常大米 3杯,清水 4.5杯，玉米粒 适量，植物油 适量,生抽 适量，植物油 适量,https://home.meishichina.com/recipe-620605.html
碌鸭,咸甜,鸭子 1只,香葱 三根，姜 1块，料酒 20ml，洋葱头 五个，米酒 20ml,东古海鲜酱油 50ml，糖色 1勺，冰糖 2块，炖肉料包 1个，花生油 20ml，葱油 20ml,https://home.meishichina.com/recipe-620611.html
豉油皇鸭肠,咸鲜,鸭肠 1斤,韭黄 少许，红辣椒 少许,米酒 少许，酱油 少许，老抽 少许,https://home.meishichina.com/recipe-620264.html
蚝油生菜（白灼生菜）,咸鲜,生菜 适量,蒜 适量,蒸鱼豉油 适量，香油 适量,https://home.meishichina.com/recipe-619603.html
竹荪猪肚鸡,其他,猪肚 半个，鸡 半只,竹荪 适量,盐 适量，白胡椒粉 适量,https://home.meishichina.com/recipe-619568.html
广式叉烧肉,酱香,五花肉 460克,无,陈皮 少许，蒜头 3瓣，香叶 3片，料酒 2勺，生抽 2勺，蚝油 半勺，食盐 1小勺，白糖 3小勺，麦芽糖 1勺,https://home.meishichina.com/recipe-617793.html
虎皮凤爪,五香,鸡爪 500克,花生米 适量，葱 适量，大料 5个，陈皮 10克，姜 适量,油 适量，盐 10克，白糖 3克，老抽 5克，陈醋 适量,https://home.meishichina.com/recipe-618917.html
腊肠窝蛋煲仔饭,咸鲜,广式腊肠 适量，丝苗香米 两杯，鸡蛋 一个,芥兰 适量,无,https://home.meishichina.com/recipe-618366.html
广式腊味煲仔饭,五香,广式腊肠 三根，大米 300g,黄心菜 一棵，油炸豆腐 一片，红萝卜 半个，香菇 两朵，纯净水 适量,生抽 少许，盐 少许,https://home.meishichina.com/recipe-618229.html
香肠煲仔饭,咸香,米 适量,香肠 适量，菜 适量，香菇 适量,盐 适量，油 适量,https://home.meishichina.com/recipe-617590.html
