菜名,口味,原料
桂花糖芋艿,甜香,芋艿 500克，红糖 4小块，冰糖 1块，藕粉 25克，食用碱面 少许，干桂花 少许
五香虎皮鸡蛋,咸鲜,鸡蛋 7个，菜籽油 适量，高汤 1碗，生抽 2勺，老抽 2勺，料酒 1勺，冰糖 1块，料包 1个，姜片 3片，盐 少许，葱 1棵
正宗苏式熏鱼,咸甜,深海鱼块 1000g，绍兴花雕 250ml，白砂糖 250g，生抽 适量，胡椒粉 适量，花椒 适量，料酒 适量，老抽 适量，盐 适量，白糖 适量，五香粉 适量，大料 适量，桂皮 适量
葱包桧儿,葱香,面粉 150克，油条 2根，香葱 150克，盐 2克，油 适量
软兜长鱼,咸鲜,黄鳝 300g，蒜头 8瓣，生抽 一匙，醋 少许，老抽 少许，糖 少许，料酒 适量，黑胡椒 适量，油 适量，淀粉 适量，盐 少许
无锡排骨,酸甜,肋排 1000克，草果 1粒，米醋 半勺，生抽 半勺，料酒 2茶匙，蚝油 半勺，冰糖 15克，小葱 2颗，姜 1块，香叶 1片，桂皮 1小块，八角 1个
龙虎斗烧饼,咸甜,面粉 250g，水 140g，糖 7g，盐 2g，泡打粉 3g，干酵母 1.5g，面粉 180g，猪油 90g，葱 1把，糖 1大勺，盐 1小勺，蜂蜜水 适量，芝麻 适量，植物油 适量
青团,甜味,糯米粉 100g，粘米粉 25g，小麦淀粉 30g，白砂糖 20g，豆沙馅料 150g，麦苗 40g，水 245g
赣榆煎饼卷三丝,微辣,赣榆煎饼 数张，土豆 2个，胡萝卜 半个，雨润方形火腿 半个，黄瓜 1个，干辣椒 数个，味极鲜 适量，香醋 适量，花椒油 适量，芝麻油 适量，盐 适量，糖 适量，油 适量，香菜 2颗，小葱 2根，大蒜 3-4瓣，熟白芝麻 适量
红烧划水,咸甜,鱼尾 400克，老抽 两茶匙，料酒 三茶匙，白糖 两茶匙，盐 三分之一茶匙，葱 适量，姜 适量，鸡粉 三分之一茶匙，胡椒粉 适量
粢饭团,咸香,紫糯米 150g，白糯米 150g，油条 适量，肉松 适量，萝卜干 适量，白糖 适量
清炖狮子头,咸鲜,五花肉 200g，荸荠 50g，猪骨 250g，大白菜 4块，上海青 2颗，盐 5g，淀粉 3g，糖 3g，胡椒粉 3g，料酒 3ml
松鼠鱼,酸甜,草鱼 一条，淀粉 适量，鸡蛋 一个，葱 适量，姜 适量，蒜 适量，白糖 四汤勺，白醋 三汤勺，油 适量，料酒 适量，盐 适量
黄桥烧饼,咸甜,中筋面粉 500克，酵母 5克，糖 20克，油酥 适量，温水 适量，芝麻 适量
蜜三刀,甜味,普通粉 35g，植物油 7g，水 17g，普通粉 350g，麦芽糖 150g，水 85g，植物油 35g，泡打粉 2g，细砂糖 90g，水 15g，麦芽糖 115g，白芝麻 适量，花生油 适量
扬州炒饭,清淡,米饭 1碗，胡萝卜 半根，黄瓜 半根，香肠 半根，鸡蛋 1颗，豌豆 20颗左右，玉米粒 20颗左右
双糯米蒸饭包油条,咸甜,油条 2根，糯米 130克，黑米 200克，咸蛋黄 2个，酸豆角 少许，白砂糖 少许
清蒸大闸蟹,清淡,大闸蟹 适量，蒜瓣 适量，醋 适量，盐 适量，葱 适量，姜 适量，黄酒 适量，芝麻油 适量
