菜名,口味,原料
家庭版佛跳墙,原味,土鸡 1只，鲍鱼 6个，海参 1条，大虾 300g，南瓜 一截，杏鲍菇 1个，干贝 30g，鹌鹑蛋 10个，姜片 适量，枸杞子 20g，油 适量，盐 适量，鸡精 少许
家庭版姜母鸭,咸鲜,老鸭 1只，生姜 85g，大蒜 5颗，糖 2匙，生抽 2匙，老抽 1匙，油 2匙，高度米酒 50ml
家庭版佛跳墙,原味,鸡 适量，猪蹄 适量，蹄筋 适量，鸡爪 适量，花胶 适量，猪骨 适量，排骨 适量，鸟蛋 适量，板栗 适量，蒜头 适量，芋头 适量，香菇 适量，笋 适量，大白菜 适量，姜片 适量，绍兴酒 适量，冰糖 适量，蚝油 适量，盐 适量，白胡椒粉 适量，地瓜粉 适量
福州红糟肉,糟香,五花肉 500g，蒜苗 一棵，生姜 一块，蒜头 2瓣，花生油 适量，红糟 2勺，生抽 1勺，盐 半匙，鸡精 半匙，白糖 一勺
五指毛桃煲老鸽,咸鲜,老鸽 一只，五指毛桃 适量，排骨 适量，姜片 几片，盐 适量，料酒 适量
蒸佛跳墙拌粉丝,原味,佛跳墙半成品 1份，粉丝 1把，葱花 适量
（闽菜）酒糟鸡,清淡,土鸡 半只，酒糟 2勺，生姜 一块，葱 一根，盐 适量
沙茶牛肉片,酱香,牛肉 约150克，蛋白 1/4只量，大白菜 约1/2棵，蒜头 2瓣，生姜 约2指节，食盐 1/3小勺，沙茶酱 1大勺，蚝油 1大勺，生抽 1+1/2大勺，味啉 1/2大勺，胡椒粉 1/3小勺，生粉 1/2大勺，芝麻油 1/2大勺，清水 1/2杯
福鼎肉片,咸鲜,精瘦肉 一斤，紫菜 一把，生菜 二片，葱 适量，八角 二片，二荆条 二个，香叶 二片，姜 适量，蒜 适量，食用小苏打 1/5匙，地瓜粉 2匙，盐 少许，醋 少许，生抽 一匙，白糖 少许，鸡精 少许
蚝烙,葱香,蚝 适量，鸭蛋 1个，盐 适量，料酒 适量，胡椒粉 适量，葱花 适量，薯粉 适量
煎小蚝仔,咸鲜,生蚝 适量，鸡蛋 适量，淀粉 适量，盐 适量，十三香 适量
炒笋粿,原味,粿条 适量，笋丝 适量，葱花 适量，生抽 适量，沙茶酱 适量，花生油 适量
